day,tic,type,rmse,mape,mae,accuracy,trend_day_first,trend_day_end,trend_all_percent,first_day_trend_test,first_day_trend_pred,end_day_trend_test,end_day_trend_pred,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,colsample_bylevel,gamma
1428,MMM,best_mape,1.2574597000441554,0.9423264801225305,1.134692382812497,0.5,0,1,50.0,down,up,down,down,100.0,5.0,0.1,5.0,1.0,1.0,1.0,0.3
1470,MMM,best_mape,0.8801576061968952,0.4615436131854134,0.6200256347656307,1.0,1,0,50.0,up,up,down,up,100.0,5.0,0.1,5.0,1.0,1.0,1.0,0.3
1008,MMM,best_accuracy,2.4291193816301884,2.0350397212180806,2.268791198730466,0.5,0,0,0.0,down,up,down,up,200.0,6.0,0.01,10.0,1.0,1.0,1.0,0.8
1050,MMM,best_accuracy,1.1740795459212223,0.7743109215452275,0.8368713378906222,0.75,0,1,66.67,up,down,down,down,200.0,6.0,0.01,10.0,1.0,1.0,1.0,0.8
1092,MMM,best_accuracy,2.1385619745229927,1.7394756654936967,2.027561950683591,0.75,0,0,33.33,up,down,up,down,200.0,6.0,0.01,10.0,1.0,1.0,1.0,0.8
1134,MMM,best_accuracy,0.5289801101057707,0.37790219169978195,0.4503662109375,0.75,0,1,16.67,down,up,up,up,200.0,6.0,0.01,10.0,1.0,1.0,1.0,0.8
1176,MMM,best_accuracy,0.7151111193479015,0.5523755504625929,0.6637390136718693,0.0,0,1,50.0,up,down,up,up,200.0,6.0,0.01,10.0,1.0,1.0,1.0,0.8
1218,MMM,best_accuracy,4.172954604172566,3.1631489624953386,4.109371948242182,0.75,0,0,0.0,up,down,up,down,200.0,6.0,0.01,10.0,1.0,1.0,1.0,0.8
1260,MMM,best_accuracy,1.858789776142264,1.294604069607698,1.74158935546875,0.5,1,1,66.67,down,down,up,up,200.0,6.0,0.01,10.0,1.0,1.0,1.0,0.8
1302,MMM,best_accuracy,3.174969787259115,2.1302179454638717,2.9153686523437328,0.25,1,0,33.33,up,up,down,up,200.0,6.0,0.01,10.0,1.0,1.0,1.0,0.8
1344,MMM,best_accuracy,0.6694305714442326,0.4625026799398427,0.6235870361328125,1.0,1,1,83.33,up,up,up,up,200.0,6.0,0.01,10.0,1.0,1.0,1.0,0.8
1386,MMM,best_accuracy,2.1875744432529327,1.5059943660723598,1.9643493652343864,0.5,0,1,33.33,down,up,up,up,200.0,6.0,0.01,10.0,1.0,1.0,1.0,0.8
1428,MMM,best_accuracy,1.5500175260405962,1.1810858205806434,1.4184036254882784,0.5,0,0,16.67,down,up,down,up,200.0,6.0,0.01,10.0,1.0,1.0,1.0,0.8
1470,MMM,best_accuracy,0.7775445464912697,0.4817343302798598,0.6522155761718693,0.75,0,1,33.33,up,down,down,down,200.0,6.0,0.01,10.0,1.0,1.0,1.0,0.8
