,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
24,AXP,1134,merge_2,0.14,0.57,0.29,-0.08,0.27,0.36,0.54
25,AXP,1134,merge_3,0.19,0.43,0.38,-0.1,0.36,0.48,0.72
26,AXP,1134,yesterday_strategy,0.05,0.76,0.19,-0.09,0.15,0.2,0.3
27,AXP,1134,trend,0.29,0,0.71,-0.11,0.18,0.24,0.36
28,AXP,1176,no_merge,0.24,0.38,0.38,-0.17,-0.64,-0.52,-1.34
29,AXP,1176,merge_0,0.24,0.38,0.38,-0.17,-0.64,-0.52,-1.34
30,AXP,1176,merge_1,0.19,0.48,0.33,-0.17,-0.7,-0.6,-1.46
31,AXP,1176,merge_2,0.24,0.57,0.19,-0.04,0.27,0.36,-0.52
32,AXP,1176,merge_3,0.19,0.57,0.24,-0.1,0.27,0.36,-0.52
33,AXP,1176,yesterday_strategy,0.19,0.57,0.24,-0.01,-0.76,-0.68,-1.58
34,AXP,1176,trend,0.43,0,0.57,-0.01,-0.76,-0.68,-1.58
35,AXP,1218,no_merge,0.24,0.57,0.19,-0.02,0.27,0.36,0.54
36,AXP,1218,merge_0,0.24,0.57,0.19,-0.02,0.27,0.36,0.54
37,AXP,1218,merge_1,0.19,0.67,0.14,0.03,-0.51,-0.45,-0.33
38,AXP,1218,merge_2,0.24,0.57,0.19,0.02,0.27,0.36,0.54
39,AXP,1218,merge_3,0.29,0.48,0.24,-0.02,-0.7,-0.6,-0.4
40,AXP,1218,yesterday_strategy,0.33,0.38,0.29,0.06,-1.11,-1.01,-0.81
41,AXP,1218,trend,0.57,0,0.43,0.03,-1.14,-1.05,-0.87
42,AXP,1260,no_merge,0.19,0.38,0.43,-0.11,-0.42,-0.3,-0.06
43,AXP,1260,merge_0,0.19,0.38,0.43,-0.11,-0.42,-0.3,-0.06
44,AXP,1260,merge_1,0.33,0.38,0.29,0.08,0.39,0.52,0.78
45,AXP,1260,merge_2,0.14,0.43,0.43,-0.12,-0.45,-0.34,-0.12
46,AXP,1260,merge_3,0.14,0.48,0.38,-0.11,-0.48,-0.38,-0.18
47,AXP,1260,yesterday_strategy,0.24,0.67,0.1,0.07,-0.6,-0.54,-0.42
48,AXP,1260,trend,0.38,0,0.62,0.08,-0.57,-0.5,-0.36
49,AXP,1302,no_merge,0.33,0.43,0.24,0.1,0.36,0.48,-0.12
50,AXP,1302,merge_0,0.33,0.43,0.24,0.1,0.36,0.48,-0.12
51,AXP,1302,merge_1,0.24,0.57,0.19,0.03,0.27,0.36,0.54
52,AXP,1302,merge_2,0.24,0.52,0.24,0.01,0.3,0.4,0.6
53,AXP,1302,merge_3,0.33,0.38,0.29,0.08,0.39,0.52,-0.06
54,AXP,1302,yesterday_strategy,0.19,0.52,0.29,-0.03,0.1,0.19,-0.47
55,AXP,1302,trend,0.48,0,0.52,-0.03,0.1,0.19,-0.47
56,AXP,1344,no_merge,0.24,0.67,0.1,0.07,0.21,0.28,0.42
57,AXP,1344,merge_0,0.24,0.67,0.1,0.07,0.21,0.28,0.42
58,AXP,1344,merge_1,0.38,0.43,0.19,0.07,0.36,0.48,0.11
59,AXP,1344,merge_2,0.24,0.57,0.19,-0.0,0.27,0.36,-0.07
60,AXP,1344,merge_3,0.29,0.62,0.1,0.09,0.24,0.32,0.48
61,AXP,1344,yesterday_strategy,0.24,0.48,0.29,-0.01,0.33,0.44,0.05
62,AXP,1344,trend,0.48,0,0.52,0.03,0.3,0.4,-0.01
63,AXP,1386,no_merge,0.29,0.43,0.29,0.04,0.36,0.48,0.72
64,AXP,1386,merge_0,0.29,0.43,0.29,0.04,0.36,0.48,0.72
65,AXP,1386,merge_1,0.29,0.57,0.14,0.09,0.27,0.36,0.54
66,AXP,1386,merge_2,0.19,0.57,0.24,-0.06,0.27,0.36,0.54
67,AXP,1386,merge_3,0.14,0.52,0.33,-0.1,0.3,0.4,0.6
68,AXP,1386,yesterday_strategy,0.14,0.62,0.24,0.06,0.24,0.32,0.48
69,AXP,1386,trend,0.38,0,0.62,0.06,0.24,0.32,0.48
70,AXP,1428,no_merge,0.38,0.29,0.33,0.09,0.45,0.6,0.9
71,AXP,1428,merge_0,0.38,0.29,0.33,0.09,0.45,0.6,0.9
72,AXP,1428,merge_1,0.29,0.52,0.19,0.19,0.3,0.4,0.6
73,AXP,1428,merge_2,0.33,0.33,0.33,0.21,0.42,0.56,0.84
74,AXP,1428,merge_3,0.29,0.43,0.29,0.08,0.36,0.48,0.72
75,AXP,1428,yesterday_strategy,0.24,0.52,0.24,0.13,0.3,0.4,0.6
76,AXP,1428,trend,0.48,0,0.52,0.13,0.3,0.4,0.6
77,AXP,1470,no_merge,0.19,0.29,0.52,-0.19,0.45,0.6,0.9
78,AXP,1470,merge_0,0.19,0.29,0.52,-0.19,0.45,0.6,0.9
79,AXP,1470,merge_1,0.29,0.1,0.62,-0.19,0.57,0.76,1.14
80,AXP,1470,merge_2,0.33,0.14,0.52,-0.06,0.54,0.72,1.08
81,AXP,1470,merge_3,0.24,0.29,0.48,-0.15,0.45,0.6,0.9
82,AXP,1470,yesterday_strategy,0.05,0.71,0.24,-0.07,0.18,0.24,0.36
83,AXP,1470,trend,0.33,0,0.67,-0.12,0.21,0.28,0.42
